* 통계표명 :,평균전세가격_아파트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 수록기간 :,2012년 01월 ~ 2023년 06월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 조회기간 :,2012년 01월 ~ 2023년 06월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 출처 :,한국부동산원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 자료다운일자 :,2023.07.17 16:52:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 단위 :,천원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지 역,,,,2018년 01월,2018년 02월,2018년 03월,2018년 04월,2018년 05월,2018년 06월,2018년 07월,2018년 08월,2018년 09월,2018년 10월,2018년 11월,2018년 12월,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,2019년 10월,2019년 11월,2019년 12월,2020년 01월,2020년 02월,2020년 03월,2020년 04월,2020년 05월,2020년 06월,2020년 07월,2020년 08월,2020년 09월,2020년 10월,2020년 11월,2020년 12월,2021년 01월,2021년 02월,2021년 03월,2021년 04월,2021년 05월,2021년 06월,2021년 07월,2021년 08월,2021년 09월,2021년 10월,2021년 11월,2021년 12월
,,,권선구,212855,211545,210609,210164,210327,210491,210482,210318,210636,210827,210955,211464,218552,218388,217836,216526,215474,214517,213871,213802,213931,214078,214802,215853,232199,235017,239178,239568,240551,243568,246983,253458,260407,267441,270636,275085,277619,278975,279212,279975,281034,283449,331805,334141,337809,341388,343110,342977
,,,팔달구,235382,233618,233158,232947,233539,233276,233013,231605,231263,231079,230947,230237,235351,235068,234716,233432,232649,232135,231270,231405,231405,231459,231811,234014,242784,245203,247297,249189,250162,252932,255176,256446,259311,262014,264297,267514,269568,272216,274419,275081,275703,275851,299716,302518,304691,308404,309493,311032
,,,영통구,294183,294087,294635,295071,294460,293825,293302,292325,291563,290579,288881,285944,296986,295493,294243,289207,286357,284457,282986,283157,283393,286300,290950,296414,321444,333225,338239,342317,345099,351148,355345,360373,364796,370134,373739,378415,384401,390641,393577,394655,396056,398352,489273,493730,498223,502400,504557,504251
,서해안권,,,205247,203303,202080,201026,199667,198493,197134,196114,196209,196380,196053,195248,197113,196468,195627,194665,194240,193839,193272,193382,193817,194870,196048,196949,204634,205641,206850,207263,207654,209172,210875,213365,216335,219888,222810,225681,227471,230026,232520,234569,236537,240498,309439,314423,318416,322517,325286,326195
,,부천시,,228932,227679,227352,227432,227370,227586,227710,227920,229056,230265,230364,229735,238327,237875,237482,236821,236131,235905,235815,236107,236851,237518,238202,238946,244374,244550,244821,243576,243415,245291,246679,249559,251859,253918,256259,259182,261088,262959,264465,265982,267024,270300,346865,352296,356190,359571,362015,362617
,,,(구)원미구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,(구)소사구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,(구)오정구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,안산시,,222320,221490,220190,218649,214887,210963,204853,198179,196187,195141,194286,193093,187461,186789,187308,187882,190170,191027,191161,191159,191078,191397,192041,192419,198011,197305,195258,194168,194717,197009,197893,199056,202242,204577,207391,211431,214549,218697,221166,224784,227282,232584,282082,288383,293650,298838,302612,305226
,,,상록구,208200,207311,206133,204989,201722,199633,193844,187122,184700,183567,182722,181378,180773,180011,179682,179830,181648,182489,182432,182341,182307,182489,182807,183023,186483,185267,183085,183159,184341,186034,186477,187443,190159,192023,194511,197273,199119,201648,203386,205455,208386,212705,262090,267359,270715,274223,277196,279659
